rate,c0,kept_rows_all,kept_rows_pct,kept_eng_all,kept_rows_cal,kept_eng_cal,obs_rows_all
0.2,10,18373,98.8,100,7301,40,18599
0.2,20,18143,97.5,100,7211,40,18599
0.2,30,17913,96.3,100,7121,40,18599
0.2,50,17453,93.8,100,6941,40,18599
0.4,10,16961,97.5,100,6951,40,17388
0.4,20,16491,94.8,100,6794,40,17388
0.4,30,15980,91.9,100,6624,40,17388
0.4,50,14851,85.4,100,6252,40,17388
0.6,10,15388,96.2,100,6243,40,16003
0.6,20,14740,92.1,100,5993,40,16003
0.6,30,14078,88.0,100,5742,40,16003
0.6,50,12627,78.9,100,5171,40,16003
