unit,F,C,O,delta,cal
1,192,82,82,0,0
2,287,86,86,0,0
3,179,251,179,1,1
4,189,75,75,0,1
5,269,131,131,0,0
6,188,90,90,0,0
7,259,214,214,0,0
8,150,197,150,1,0
9,201,282,201,1,1
10,222,119,119,0,1
11,240,328,240,1,1
12,170,71,71,0,0
13,163,135,135,0,1
14,180,253,180,1,0
15,207,279,207,1,1
16,209,240,209,1,1
17,276,103,103,0,1
18,195,176,176,0,1
19,158,140,140,0,1
20,234,179,179,0,1
21,195,143,143,0,0
22,202,213,202,1,0
23,168,110,110,0,1
24,147,255,147,1,0
25,230,260,230,1,0
26,199,295,199,1,1
27,156,261,156,1,0
28,165,126,126,0,0
29,163,88,88,0,0
30,194,321,194,1,1
31,234,193,193,0,0
32,191,108,108,0,1
33,200,188,188,0,0
34,195,141,141,0,1
35,181,140,140,0,0
36,158,254,158,1,1
37,170,302,170,1,0
38,194,255,194,1,0
39,128,75,75,0,0
40,188,201,188,1,0
41,216,289,216,1,0
42,196,278,196,1,0
43,207,275,207,1,0
44,192,318,192,1,0
45,158,232,158,1,1
46,256,271,256,1,0
47,214,99,99,0,1
48,231,318,231,1,1
49,215,193,193,0,1
50,198,72,72,0,0
51,213,100,100,0,0
52,213,244,213,1,1
53,195,242,195,1,1
54,257,206,206,0,0
55,193,169,169,0,0
56,275,315,275,1,1
57,137,316,137,1,0
58,147,134,134,0,1
59,231,101,101,0,0
60,172,213,172,1,0
61,185,108,108,0,1
62,180,240,180,1,0
63,174,130,130,0,0
64,283,134,134,0,0
65,153,109,109,0,1
66,202,180,180,0,0
67,313,230,230,0,0
68,199,112,112,0,0
69,362,212,212,0,0
70,137,106,106,0,1
71,208,237,208,1,1
72,213,165,165,0,0
73,213,278,213,1,1
74,166,97,97,0,1
75,229,196,196,0,1
76,210,101,101,0,1
77,154,62,62,0,1
78,231,124,124,0,0
79,199,250,199,1,0
80,185,190,185,1,0
81,240,188,188,0,0
82,214,256,214,1,0
83,293,174,174,0,0
84,267,280,267,1,0
85,188,112,112,0,1
86,278,157,157,0,1
87,178,135,135,0,0
88,213,106,106,0,0
89,217,168,168,0,1
90,154,137,137,0,0
91,135,225,135,1,0
92,341,329,329,0,1
93,155,184,155,1,0
94,258,65,65,0,0
95,283,98,98,0,0
96,336,289,289,0,0
97,202,322,202,1,0
98,156,156,156,1,1
99,185,88,88,0,0
100,200,138,138,0,0
